,title,text,label
8476,You Can Start Using Microsoft's New Search Engine Now,Microsoft has launched its new AI-powered search engine...,REAL
10294,NASA Discovers Life on Mars in Secret Mission,NASA scientists have confirmed finding microbial life on Mars...,FAKE
3608,Apple Announces New iPhone 15 with USB-C,Apple has officially unveiled the iPhone 15 featuring a USB-C port...,REAL
1106,Drinking Bleach Cures Everything,A new study claims that drinking bleach can cure any disease...,FAKE
4327,Google Launches Gemini AI Model,Google has released its most capable AI model yet named Gemini...,REAL
5555,Scientists Prove Moon is Made of Cheese,A new research paper suggests the moon's core is actually brie...,FAKE
7777,Stock Market Reaches Record Highs,The Dow Jones Industrial Average hit a new all-time high today...,REAL
8888,Aliens Control the World Economy,Investigative reports suggest that extraterrestrial beings are running Wall Street...,FAKE
9999,Electric Vehicles Surpass Gas Cars in Sales,For the first time electric vehicles have outsold internal combustion engines in Europe...,REAL
1234,Gravity is a Social Construct,A controversial new theory claims gravity is just a collective belief...,FAKE
5678,Global Temperatures Rise Faster Than Expected,Climatologists report that global warming is accelerating beyond previous models...,REAL
9101,Eating Pizza Makes You Live Forever,A fake health blog claims that pepperoni pizza is the secret to immortality...,FAKE
2468,US Election Results Confirmed,The Electoral College has officially certified the results of the presidential election...,REAL
1357,Robots Have Replaced All Government Officials,Deep-state rumors claim that all politicians have been replaced by androids...,FAKE
3141,Quantum Computer Breaches All Encryption,Researchers at MIT have developed a quantum processor capable of cracking RSA-2048...,REAL
2718,Water is Actually Toxic,A viral video claims that water is the leading cause of death globally...,FAKE
